FID,MEASID,TimeStamp,Time,Site,LonBase,LatBase,Dist1__ft_,Dist2_Y,Dir1_X,Dir2_Y,LonPoint,LatPoint,Soil_Sat__,ID,Zone,Notes,Veg_Orig,Veg,Trip,Record_in,Lat_from_T,Longitude,Period___u,Attenuatio,Permittivi,Probe_Mode,F27,1973_raste,2014_raste,aspect,tpi_300m,flow_acc_d,slope_deg,Elevation,Fire_Year_,Fire_Num,Fire_Max_S,RASTERVALU
1894,483.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,115.000000000000000,-5.000000000000000,N,E,-118.688415000000006,36.712819000000003,26.020000000000000,1783.000000000000000,[No GPS Lock],26.02,"Conifer, PICO",mixed conifer,2016_Early,2823.000000000000000, , , , , , , ,4.0000000,2.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,233.902881189999988
1895,470.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,80.000000000000000,5.000000000000000,N,E,-118.688412999999997,36.712721000000002,52.079999999999998,1329.000000000000000,[No GPS Lock],52.08,"Conifer, PICO",mixed conifer,2016_Early,2827.000000000000000, , , , , , , ,6.0000000,6.0000000,150.9299927,-3,23.0000000,3.9038100,2402.8200684,2003,1,3,240.160487259999996
1896,485.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,120.000000000000000,-5.000000000000000,N,E,-118.688412000000000,36.712833000000003,26.020000000000000,1783.000000000000000,[No GPS Lock],26.02,"Conifer, PICO",mixed conifer,2016_Early,2822.000000000000000, , , , , , , ,4.0000000,2.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,232.729577780000000
1897,472.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,85.000000000000000,5.000000000000000,N,E,-118.688411000000002,36.712735000000002,50.810009999999998,1329.000000000000000,[No GPS Lock],50.81001,"Conifer, PICO",mixed conifer,2016_Early,2826.000000000000000, , , , , , , ,6.0000000,6.0000000,150.9299927,-3,23.0000000,3.9038100,2402.8200684,2003,1,3,239.003830499999992
1898,487.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,125.000000000000000,-5.000000000000000,N,E,-118.688408999999993,36.712848000000001,19.980000000000000,1783.000000000000000,[No GPS Lock],19.98,"Conifer, PICO",mixed conifer,2016_Early,2821.000000000000000, , , , , , , ,4.0000000,2.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,231.554027590000004
1899,474.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,90.000000000000000,5.000000000000000,N,E,-118.688407999999995,36.712749000000002,45.689999999999998,1329.000000000000000,[No GPS Lock],45.69,"Conifer, PICO",mixed conifer,2016_Early,2825.000000000000000, , , , , , , ,6.0000000,6.0000000,150.9299927,-3,23.0000000,3.9038100,2402.8200684,2003,1,3,237.835603770000006
1900,489.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,130.000000000000000,-5.000000000000000,N,E,-118.688406999999998,36.712862000000001,24.600000000000001,1783.000000000000000,[No GPS Lock],24.6,"Conifer, PICO",mixed conifer,2016_Early,2820.000000000000000, , , , , , , ,4.0000000,2.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,230.385969850000009
1901,476.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,95.000000000000000,5.000000000000000,N,E,-118.688405000000003,36.712763000000002,31.930000000000000,1329.000000000000000,[No GPS Lock],31.93,"Conifer, PICO",mixed conifer,2016_Early,2824.000000000000000, , , , , , , ,6.0000000,6.0000000,150.9299927,-3,23.0000000,3.9038100,2402.8200684,2003,1,3,236.665130260000012
1902,491.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,135.000000000000000,-5.000000000000000,N,E,-118.688404000000006,36.712876000000001,30.899999999999999,1783.000000000000000,[No GPS Lock],30.9,"Conifer, PICO",mixed conifer,2016_Early,2819.000000000000000, , , , , , , ,4.0000000,2.0000000,146.9709930,-2,875.0000000,3.7577200,2404.0000000,2003,1,3,229.205967700000002
1903,478.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,100.000000000000000,5.000000000000000,N,E,-118.688402999999994,36.712777000000003,17.660000000000000,1329.000000000000000,[No GPS Lock],log over transect,"Conifer, PICO",mixed conifer,2016_Early,2823.000000000000000, , , , , , , ,6.0000000,6.0000000,150.9299927,-3,23.0000000,3.9038100,2402.8200684,2003,1,3,235.501899589999994
1904,493.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,140.000000000000000,-5.000000000000000,N,E,-118.688400999999999,36.712890000000002,19.530000000000001,1783.000000000000000,[No GPS Lock],19.53,"Conifer, PICO",mixed conifer,2016_Early,2818.000000000000000, , , , , , , ,4.0000000,2.0000000,146.9709930,-2,875.0000000,3.7577200,2404.0000000,2003,1,3,228.023718769999988
1905,480.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,105.000000000000000,5.000000000000000,N,E,-118.688400000000001,36.712791000000003,6.490000000000000,1329.000000000000000,[No GPS Lock],6.49,"Conifer, PICO",mixed conifer,2016_Early,2822.000000000000000, , , , , , , ,6.0000000,6.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,234.326974129999996
1906,495.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,145.000000000000000,-5.000000000000000,N,E,-118.688399000000004,36.712904000000002,19.530000000000001,1783.000000000000000,[No GPS Lock],19.53,"Conifer, PICO",mixed conifer,2016_Early,2817.000000000000000, , , , , , , ,4.0000000,2.0000000,146.9709930,-2,875.0000000,3.7577200,2404.0000000,2003,1,3,226.849087099999991
1907,482.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,110.000000000000000,5.000000000000000,N,E,-118.688396999999995,36.712805000000003,3.080000000000000,1329.000000000000000,[No GPS Lock],dead dry grass,"Conifer, PICO",mixed conifer,2016_Early,2821.000000000000000, , , , , , , ,6.0000000,6.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,233.149801889999992
